,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
301,1,0.02,0.001,0.1,30.200000000000003,0.01,0.06924543633507532
302,1,0.02,0.001,0.1,30.300000000000004,0.01,0.06907564441314029
303,1,0.02,0.001,0.1,30.400000000000002,0.01,0.06890590622721939
304,1,0.02,0.001,0.1,30.500000000000004,0.01,0.06873622532272547
305,1,0.02,0.001,0.1,30.6,0.01,0.06856660518669416
306,1,0.02,0.001,0.1,30.700000000000003,0.01,0.06839704924867696
307,1,0.02,0.001,0.1,30.800000000000004,0.01,0.06822756088161572
308,1,0.02,0.001,0.1,30.900000000000002,0.01,0.06805814340270543
309,1,0.02,0.001,0.1,31.000000000000004,0.01,0.06788880007423997
310,1,0.02,0.001,0.1,31.1,0.01,0.06771953410444792
311,1,0.02,0.001,0.1,31.200000000000003,0.01,0.0675503486483103
312,1,0.02,0.001,0.1,31.300000000000004,0.01,0.06738124680836749
313,1,0.02,0.001,0.1,31.400000000000002,0.01,0.06721223163551279
314,1,0.02,0.001,0.1,31.500000000000004,0.01,0.06704330612977288
315,1,0.02,0.001,0.1,31.6,0.01,0.06687447324107455
316,1,0.02,0.001,0.1,31.700000000000003,0.01,0.06670573586999913
317,1,0.02,0.001,0.1,31.800000000000004,0.01,0.06653709686852789
318,1,0.02,0.001,0.1,31.900000000000002,0.01,0.06636855904077009
319,1,0.02,0.001,0.1,32.0,0.01,0.06620012514368281
320,1,0.02,0.001,0.1,32.1,0.01,0.06603179788777924
321,1,0.02,0.001,0.1,32.2,0.01,0.06586357993782326
322,1,0.02,0.001,0.1,32.300000000000004,0.01,0.06569547391351538
323,1,0.02,0.001,0.1,32.400000000000006,0.01,0.06552748239016498
324,1,0.02,0.001,0.1,32.5,0.01,0.06535960789935583
325,1,0.02,0.001,0.1,32.6,0.01,0.06519185292959517
326,1,0.02,0.001,0.1,32.7,0.01,0.0650242199269587
327,1,0.02,0.001,0.1,32.800000000000004,0.01,0.06485671129572085
328,1,0.02,0.001,0.1,32.900000000000006,0.01,0.06468932939897595
329,1,0.02,0.001,0.1,33.0,0.01,0.06452207655925256
330,1,0.02,0.001,0.1,33.1,0.01,0.06435495505911137
331,1,0.02,0.001,0.1,33.2,0.01,0.06418796714174346
332,1,0.02,0.001,0.1,33.300000000000004,0.01,0.06402111501154749
333,1,0.02,0.001,0.1,33.400000000000006,0.01,0.06385440083470816
334,1,0.02,0.001,0.1,33.5,0.01,0.06368782673976028
335,1,0.02,0.001,0.1,33.6,0.01,0.06352139481814349
336,1,0.02,0.001,0.1,33.7,0.01,0.06335510712475073
337,1,0.02,0.001,0.1,33.800000000000004,0.01,0.06318896567846796
338,1,0.02,0.001,0.1,33.900000000000006,0.01,0.06302297246270298
339,1,0.02,0.001,0.1,34.0,0.01,0.0628571294259079
340,1,0.02,0.001,0.1,34.1,0.01,0.06269143848209431
341,1,0.02,0.001,0.1,34.2,0.01,0.06252590151133777
342,1,0.02,0.001,0.1,34.300000000000004,0.01,0.06236052036027827
343,1,0.02,0.001,0.1,34.400000000000006,0.01,0.0621952968426076
344,1,0.02,0.001,0.1,34.5,0.01,0.06203023273955541
345,1,0.02,0.001,0.1,34.6,0.01,0.06186532980036165
346,1,0.02,0.001,0.1,34.7,0.01,0.06170058974274664
347,1,0.02,0.001,0.1,34.800000000000004,0.01,0.06153601425337143
348,1,0.02,0.001,0.1,34.900000000000006,0.01,0.06137160498829132
349,1,0.02,0.001,0.1,35.0,0.01,0.06120736357340412
350,1,0.02,0.001,0.1,35.1,0.01,0.06104329160488692
351,1,0.02,0.001,0.1,35.2,0.01,0.06087939064963266
352,1,0.02,0.001,0.1,35.300000000000004,0.01,0.06071566224567498
353,1,0.02,0.001,0.1,35.400000000000006,0.01,0.06055210790260922
354,1,0.02,0.001,0.1,35.5,0.01,0.06038872910200538
355,1,0.02,0.001,0.1,35.6,0.01,0.06022552729781591
356,1,0.02,0.001,0.1,35.7,0.01,0.06006250391677693
357,1,0.02,0.001,0.1,35.800000000000004,0.01,0.05989966035880315
358,1,0.02,0.001,0.1,35.900000000000006,0.01,0.05973699799737797
359,1,0.02,0.001,0.1,36.0,0.01,0.05957451817993582
360,1,0.02,0.001,0.1,36.1,0.01,0.05941222222823955
361,1,0.02,0.001,0.1,36.2,0.01,0.059250111438753535
362,1,0.02,0.001,0.1,36.300000000000004,0.01,0.05908818708300871
363,1,0.02,0.001,0.1,36.400000000000006,0.01,0.058926450407962946
364,1,0.02,0.001,0.1,36.5,0.01,0.058764902636358377
365,1,0.02,0.001,0.1,36.6,0.01,0.05860354496706945
